device,loop,zone,description,subtype,type,name,locationId
33,36,335,IRD-IT4-L63-SFS-02 FIRE CUPBOARD,x02,OPT,L36 - D33 - Z335 - IRD-IT4-L63-SFS-02 FIRE CUPBOARD - OPT,IRD-IT4-L63-SFS-02
34,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D34 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
35,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D35 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
36,36,335,IRD-IT4-L63-SEL-01 ELEC CUPBOARD,x02,OPT,L36 - D36 - Z335 - IRD-IT4-L63-SEL-01 ELEC CUPBOARD - OPT,IRD-IT4-L63-SEL-01
37,36,335,IRD-IT4-L63-BTW-02 REFUSE ROOM,x02,OPT,L36 - D37 - Z335 - IRD-IT4-L63-BTW-02 REFUSE ROOM - OPT,IRD-IT4-L63-BTW-02
38,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D38 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
39,36,335,IRD-IT4-L63-SEL-03 ELEC CUPBOARD,x02,OPT,L36 - D39 - Z335 - IRD-IT4-L63-SEL-03 ELEC CUPBOARD - OPT,IRD-IT4-L63-SEL-03
40,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D40 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
41,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D41 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
42,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D42 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
43,36,335,IRD-IT4-L63-SGS-01 FUTURE,x02,OPT,L36 - D43 - Z335 - IRD-IT4-L63-SGS-01 FUTURE - OPT,IRD-IT4-L63-SGS-01
44,36,335,IRD-IT4-L63-CGL-01 CORRIDOR,x02,OPT,L36 - D44 - Z335 - IRD-IT4-L63-CGL-01 CORRIDOR - OPT,IRD-IT4-L63-CGL-01
