zone,description,raw
196,TOWER 1 LEVEL 41 NORTH,Z 1 Z 1
197,TOWER 1 LEVEL 41 SOUTH,Z 1 Z 1
220,TOWER 2 LEVEL 08,Z 1 Z 1
221,TOWER 2 LEVEL 09,Z 1 Z 1
222,TOWER 2 LEVEL 10,Z 1 Z 1
223,TOWER 2 LEVEL 11,Z 1 Z 1
224,TOWER 2 LEVEL 12,Z 1 Z 1
225,TOWER 2 LEVEL 13,Z 1 Z 1
226,TOWER 2 LEVEL 14,Z 1 Z 1
227,TOWER 2 LEVEL 15,Z 1 Z 1
228,TOWER 2 LEVEL 16,Z 1 Z 1
229,TOWER 2 LEVEL 17,Z 1 Z 1
230,TOWER 2 LEVEL 18,Z 1 Z 1
231,TOWER 2 LEVEL 19 FOH,Z 1 Z 1
232,TOWER 2 LEVEL 20 FOH,Z 1 Z 1
233,TOWER 2 LEVEL 21 FOH,Z 1 Z 1
234,TOWER 2 LEVEL 22,Z 1 Z 1
235,TOWER 2 LEVEL 23,Z 1 Z 1
236,TOWER 2 LEVEL 23M,Z 1 Z 1
241,TOWER 2 LEVEL 19 BOH,Z 1 Z 1
242,TOWER 2 LEVEL 20 BOH,Z 1 Z 1
243,TOWER 2 LEVEL 21 BOH,Z 1 Z 1
250,TOWER 3 LEVEL 08,Z 1 Z 1
251,TOWER 3 LEVEL 09,Z 1 Z 1
252,TOWER 3 LEVEL 10,Z 1 Z 1
253,TOWER 3 LEVEL 11,Z 1 Z 1
254,TOWER 3 LEVEL 12,Z 1 Z 1
255,TOWER 3 LEVEL 13,Z 1 Z 1
256,TOWER 3 LEVEL 14,Z 1 Z 1
257,TOWER 3 LEVEL 15,Z 1 Z 1
258,TOWER 3 LEVEL 16,Z 1 Z 1
259,TOWER 3 LEVEL 17,Z 1 Z 1
260,TOWER 3 LEVEL 18,Z 1 Z 1
261,TOWER 3 LEVEL 19 FOH,Z 1 Z 1
262,TOWER 3 LEVEL 20 FOH,Z 1 Z 1
263,TOWER 3 LEVEL 21 FOH,Z 1 Z 1
264,TOWER 3 LEVEL 22,Z 1 Z 1
265,TOWER 3 LEVEL 23,Z 1 Z 1
266,TOWER 3 LEVEL 23M,Z 1 Z 1
271,TOWER 3 LEVEL 19 BOH,Z 1 Z 1
272,TOWER 3 LEVEL 20 BOH,Z 1 Z 1
273,TOWER 3 LEVEL 21 BOH,Z 1 Z 1
280,TOWER 4 LEVEL 08,Z 1 Z 1
281,TOWER 4 LEVEL 09,Z 1 Z 1
282,TOWER 4 LEVEL 10,Z 1 Z 1
283,TOWER 4 LEVEL 11,Z 1 Z 1
284,TOWER 4 LEVEL 12,Z 1 Z 1
285,TOWER 4 LEVEL 13,Z 1 Z 1
286,TOWER 4 LEVEL 14,Z 1 Z 1
287,TOWER 4 LEVEL 15,Z 1 Z 1
288,TOWER 4 LEVEL 16,Z 1 Z 1
289,TOWER 4 LEVEL 17,Z 1 Z 1
290,TOWER 4 LEVEL 18,Z 1 Z 1
291,TOWER 4 LEVEL 19,Z 1 Z 1
292,TOWER 4 LEVEL 20,Z 1 Z 1
293,TOWER 4 LEVEL 21,Z 1 Z 1
294,TOWER 4 LEVEL 22,Z 1 Z 1
295,TOWER 4 LEVEL 23,Z 1 Z 1
296,TOWER 4 LEVEL 24,Z 1 Z 1
297,TOWER 4 LEVEL 25,Z 1 Z 1
298,TOWER 4 LEVEL 26,Z 1 Z 1
299,TOWER 4 LEVEL 27,Z 1 Z 1
300,TOWER 4 LEVEL 28,Z 1 Z 1
301,TOWER 4 LEVEL 29,Z 1 Z 1
302,TOWER 4 LEVEL 30,Z 1 Z 1
303,TOWER 4 LEVEL 31,Z 1 Z 1
304,TOWER 4 LEVEL 32,Z 1 Z 1
305,TOWER 4 LEVEL 33,Z 1 Z 1
306,TOWER 4 LEVEL 34,Z 1 Z 1
307,TOWER 4 LEVEL 35,Z 1 Z 1
308,TOWER 4 LEVEL 36,Z 1 Z 1
309,TOWER 4 LEVEL 37,Z 1 Z 1
310,TOWER 4 LEVEL 38,Z 1 Z 1
311,TOWER 4 LEVEL 39,Z 1 Z 1
312,TOWER 4 LEVEL 40,Z 1 Z 1
313,TOWER 4 LEVEL 41,Z 1 Z 1
314,TOWER 4 LEVEL 42,Z 1 Z 1
315,TOWER 4 LEVEL 43,Z 1 Z 1
316,TOWER 4 LEVEL 44,Z 1 Z 1
317,TOWER 4 LEVEL 45,Z 1 Z 1
318,TOWER 4 LEVEL 46,Z 1 Z 1
319,TOWER 4 LEVEL 47,Z 1 Z 1
320,TOWER 4 LEVEL 48,Z 1 Z 1
321,TOWER 4 LEVEL 49,Z 1 Z 1
322,TOWER 4 LEVEL 50,Z 1 Z 1
323,TOWER 4 LEVEL 51,Z 1 Z 1
324,TOWER 4 LEVEL 52,Z 1 Z 1
325,TOWER 4 LEVEL 53,Z 1 Z 1
326,TOWER 4 LEVEL 54,Z 1 Z 1
327,TOWER 4 LEVEL 55,Z 1 Z 1
328,TOWER 4 LEVEL 56,Z 1 Z 1
329,TOWER 4 LEVEL 57,Z 1 Z 1
330,TOWER 4 LEVEL 58,Z 1 Z 1
331,TOWER 4 LEVEL 59,Z 1 Z 1
332,TOWER 4 LEVEL 60,Z 1 Z 1
333,TOWER 4 LEVEL 61,Z 1 Z 1
334,TOWER 4 LEVEL 62,Z 1 Z 1
335,TOWER 4 LEVEL 63,Z 1 Z 1
336,TOWER 4 LEVEL 64,Z 1 Z 1
337,TOWER 4 LEVEL 64M,Z 1 Z 1
338,TOWER 4 LEVEL 65,Z 1 Z 1
350,TOWER 4 LEVEL 44 UNIT MCP,Z 1 Z 1
351,TOWER 4 LEVEL 45 UNIT MCP,Z 1 Z 1
352,TOWER 4 LEVEL 46 UNIT MCP,Z 1 Z 1
501,PRINTING BUILDING BASMENT 01,Z 1 Z 1
502,PRINTING BUILDING LEVEL 00,Z 1 Z 1
503,PRINTING BUILDING LEVEL 00,Z 1 Z 1
504,PRINTING BUILDING LEVEL 01,Z 1 Z 1
505,PRINTING BUILDING LEVEL 01,Z 1 Z 1
506,PRINTING BUILDING LEVEL 02,Z 1 Z 1
507,PRINTING BUILDING LEVEL 02,Z 1 Z 1
508,PRINTING BUILDING TOP OF LIFT,Z 1 Z 1
520,HARRIS TCE LEVEL 00 SERVICE,Z 1 Z 1
521,HARRIS TCE LEVEL 00 TENANCY 1,Z 1 Z 1
522,HARRIS TCE LEVEL 00 TENANCY 2,Z 1 Z 1
523,HARRIS TCE LEVEL 00 TENANCY 3,Z 1 Z 1
524,HARRIS TCE LEVEL 01 TENANCY 1,Z 1 Z 1
525,HARRIS TCE LEVEL 01 TENANCY 2,Z 1 Z 1
526,HARRIS TCE LEVEL 01 TENANCY 3,Z 1 Z 1
527,HARRIS TCE LEVEL 02 TENANCY 2.1,Z 1 Z 1
528,HARRIS TCE LEVEL 02 TENANCY 2.2,Z 1 Z 1
529,HARRIS TCE LEVEL 02 TENANCY PLANT,Z 1 Z 1
530,HARRIS TCE LEVEL 02 TOP OF LIFT,Z 1 Z 1
750,EWIS ASE TRIGGER,Z 1 Z 1
800,TOWER 1 L00 MASD MCR-DC2,Z 1 Z 1
801,TOWER 1 L00 MASD MCCR1,Z 1 Z 1
802,IT2-IT3 L00 MASD MAIN CARRIER,Z 1 Z 1
900,TOWER 2 TOP OF LIFT P11-12,Z 1 Z 1
901,TOWER 2 TOP OF LIFT P10,Z 1 Z 1
902,TOWER 2 TOP OF LIFT I1,Z 1 Z 1
903,TOWER 2  TOP OF LIFT G15-16,Z 1 Z 1
904,TOWER 1-4 TOP OF LIFT P6-7-8,Z 1 Z 1
905,TOWER 1-4 TOP OF LIFT DUMB WAITER,Z 1 Z 1
906,TOWER 4 TOP OF LIFT Q9-10,Z 1 Z 1
907,TOWER 4 TOP OF LIFT I2,Z 1 Z 1
908,TOWER 3 TOP OF LIFT CAR PORTE,Z 1 Z 1
909,TOWER 2 TOP OF LIFT P13,Z 1 Z 1
910,TOWER 4 TOP LIFT P14,Z 1 Z 1
911,TOWER 3-4 TOP OF LIFT P9,Z 1 Z 1
912,TOWER 2 TOP OF LIFT G17-18,Z 1 Z 1
913,TOWER 4 TOP OF CAR LIFT,Z 1 Z 1
914,TOWER 1 TOP OF LIFT D3-4-5-6,Z 1 Z 1
915,TOWER 1 TOP OF LIFT P1-2,Z 1 Z 1
916,TOWER 1 TOP OF LIFT D1-2,Z 1 Z 1
917,TOWER 1 TOP OF LIFT R4-5-6,Z 1 Z 1
918,TOWER 1 TOP OF LIFT R1-2,Z 1 Z 1
919,TOWER 1 TOP OF LIFT R7-8-9,Z 1 Z 1
920,TOWER 2 TOP OF LIFT G3,Z 1 Z 1
921,TOWER 2 TOP OF LIFT G1-2,Z 1 Z 1
922,TOWER 2 TOP OF LIFT G6-7,Z 1 Z 1
923,TOWER 2 TOP OF LIFT G4-5,Z 1 Z 1
924,TOWER 2 TOP OF LIFT G10,Z 1 Z 1
925,TOWER 2 TOP OF LIFT G8-9,Z 1 Z 1
926,TOWER 2 TOP OF LIFT G11-12,Z 1 Z 1
927,TOWER 2 TOP OF LIFT G13-14,Z 1 Z 1
928,TOWER 3 TOP OF LIFT P3-4-5,Z 1 Z 1
929,TOWER 4 TOP OF LIFT Q3-4-5,Z 1 Z 1
930,TOWER 4 TOP OF LIFT Q6-7-8,Z 1 Z 1
1001,SPRINKLER TOWER 2 BASEMENT 5,Z 1 Z 1
1002,SPRINKLER TOWER 3 BASEMENT 5,Z 1 Z 1
1003,SPRINKLER TOWER 2 BASEMENT 4,Z 1 Z 1
1004,SPRINKLER TOWER 3 BASEMENT 4,Z 1 Z 1
1005,SPRINKLER TOWER 4 BASEMENT 4,Z 1 Z 1
1007,SPRINKLER TOWER 1 BASEMENT 3,Z 1 Z 1
1008,SPRINKLER TOWER 2 BASEMENT 3,Z 1 Z 1
1009,SPRINKLER TOWER 3 BASEMENT 3,Z 1 Z 1
1010,SPRINKLER TOWER 4 BASEMENT 3,Z 1 Z 1
1012,SPRINKLER TOWER 1 BASEMENT 2,Z 1 Z 1
1013,SPRINKLER TOWER 2 BASEMENT 2,Z 1 Z 1
