device,loop,zone,description,subtype,type,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
15,2,31,IRD-ICG-L00-BCS-03 BOH TROLLEY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
16,2,31,IRD-ICG-L00-BCS-03 BOH TROLLEY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
17,2,3301,IRD-ICG-L00-CSV-15 BOH CORRI MDH,a03,MDH,4,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
18,2,31,IRD-ICG-L00-CSV-15 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
19,2,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
20,2,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
21,2,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
22,2,30,IRD-ICG-L00-PEL-23 HV MSB 2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
23,2,30,IRD-ICG-L00-PEL-23 HV MSB 2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
24,2,30,IRD-ICG-L00-PEL-23 HV MSB 2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
25,2,30,IRD-ICG-L00-PEL-22 ENERGEX COMMS,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
