loop,device,zone,description,subtype,type,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,84,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,85,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,86,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,87,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,88,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,89,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,90,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,91,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,92,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,93,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,94,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,95,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,96,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,97,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,98,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,99,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,100,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,101,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,102,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,103,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,104,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,105,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,106,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,107,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,108,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,109,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,110,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,111,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,112,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,113,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,114,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,115,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,116,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,117,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,118,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,119,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,120,918,TOWER 4 TOP OF LIFT Q2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,NA,,,,,
1,121,917,TOWER 4 TOP OF LIFT Q1,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,NA,,,,,
1,122,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,123,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,124,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,125,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
1,126,0,,0,,0,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,,,,,,
2,1,31,IRD-ICG-L00-FTR-01 RESI LOBBY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,2,31,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,3,31,IRD-ICG-L00-FTR-01 RESI LOBBY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,4,31,IRD-IT4-L00-SEL-01 ELEC CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,5,30,IRD-ICG-L00-SIC-20 COMMS CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,6,30,IRD-ICG-L00-FTR-01 RESI LOBBY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,7,30,IRD-ICG-L00-FTR-01 RESI LOBBY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,8,30,IRD-ICG-L00-SIC-09 COMMS CUPBOARD,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,9,30,IRD-ICG-L00-FTR-01 RESI LOBBY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,10,31,IRD-ICG-L00-CSV-15 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,11,31,IRD-ICG-L00-BCS-05 BOH MAN TRAP,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,12,31,IRD-ICG-L00-CSV-15 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,13,31,IRD-ICG-L00-BCS-03 BOH TROLLEY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,14,31,IRD-ICG-L00-BCS-03 BOH TROLLEY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,15,31,IRD-ICG-L00-BCS-03 BOH TROLLEY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,16,31,IRD-ICG-L00-BCS-03 BOH TROLLEY,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,17,3301,IRD-ICG-L00-CSV-15 BOH CORRI MDH,a03,MDH,4,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,18,31,IRD-ICG-L00-CSV-15 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,19,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,20,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,21,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,22,30,IRD-ICG-L00-PEL-23 HV MSB 2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,23,30,IRD-ICG-L00-PEL-23 HV MSB 2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,24,30,IRD-ICG-L00-PEL-23 HV MSB 2,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,25,30,IRD-ICG-L00-PEL-22 ENERGEX COMMS,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,26,30,IRD-ICG-L00-PEL-03 MSB-4,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,27,30,IRD-ICG-L00-PEL-03 MSB-4,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,28,30,IRD-ICG-L00-PEL-21 IT4 SUBSTATION,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,29,30,IRD-ICG-L00-CSV-14 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,30,30,IRD-ICG-L00-CSV-20 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,31,30,IRD-ICG-L00-CSV-17 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,32,30,IRD-ICG-L00-PIC-05 IT4 MCR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,33,30,IRD-ICG-L00-CSV-20 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,34,32,IRD-ICG-L00-CSV-15 BOH CORRIDOR,x02,OPT,0,0,N,Y,Y,Y,Y,Y,N,Y,6,0,0,0,0,180,N,100,80,0,0,0,0,0,NA,,,,,
2,35,3208,LEVEL 00 EXIT INTERFACE STH,a03,SIGN,4,0,N,Y,Y,Y,Y,Y,N,Y,0,0,0,0,0,0,N,100,80,0,0,0,0,0,NA,,,,,
